Date Time VMFC
Date Time VMFC
Date Time VMFC
Date Time VMFC Temperature
2020-07-07 10:24:21 335.65 9.19
2020-07-07 10:29:22 336.51 8.97
2020-07-07 10:34:23 334.02 8.47
2020-07-07 10:39:24 333.59 8.91
2020-07-07 10:44:24 334.19 9.14
2020-07-07 10:49:25 333.32 8.8
2020-07-07 10:54:26 335.27 8.4
2020-07-07 10:59:27 334.24 8.73
2020-07-07 11:04:28 334.89 9.39
2020-07-07 11:09:28 334.02 8.5
2020-07-07 11:14:29 335.76 8.52
2020-07-07 11:19:30 337.33 8.91
2020-07-07 11:24:31 333.75 8.69
2020-07-07 11:29:32 334.19 8.89
2020-07-07 11:34:32 336.14 9.2
2020-07-07 11:39:33 335.16 8.52
2020-07-07 11:44:34 336.51 8.47
2020-07-07 11:49:35 335.59 9.37
2020-07-07 11:54:35 335.43 9.36
2020-07-07 11:59:36 334.46 8.67
2020-07-07 12:04:37 337.0 8.71
2020-07-07 12:09:38 334.51 9.08
2020-07-07 12:14:39 333.64 8.39
2020-07-07 12:19:39 334.46 9.22
2020-07-07 12:24:40 332.94 8.51
2020-07-07 12:29:41 334.78 8.69
2020-07-07 12:34:42 333.48 8.8
2020-07-07 12:39:42 334.56 8.98
2020-07-07 12:44:43 334.84 8.88
2020-07-07 12:49:44 334.73 8.9
2020-07-07 12:54:45 331.37 8.54
2020-07-07 12:59:46 334.4 8.69
2020-07-07 13:04:46 334.24 8.64
2020-07-07 13:09:47 333.81 8.48
2020-07-07 13:14:48 332.4 8.8
2020-07-07 13:19:49 334.02 8.74
2020-07-07 13:24:50 332.99 8.26
2020-07-07 13:29:50 332.34 8.35
2020-07-07 13:34:51 331.97 8.61
2020-07-07 13:39:52 334.56 8.75
2020-07-07 13:44:53 332.13 8.24
2020-07-07 13:49:53 335.21 9.17
2020-07-07 13:54:54 331.26 8.75
2020-07-07 13:59:55 331.37 8.15
2020-07-07 14:04:56 333.32 9.19
2020-07-07 14:09:57 332.18 9.04
2020-07-07 14:14:57 332.18 9.17
2020-07-07 14:19:58 333.64 8.61
2020-07-07 14:24:59 333.91 8.69
2020-07-07 14:30:00 333.43 8.04
2020-07-07 14:35:01 330.94 8.59
2020-07-07 14:40:01 334.56 8.47
2020-07-07 14:45:02 332.02 8.66
2020-07-07 14:50:03 333.64 9.28
2020-07-07 14:55:04 333.1 9.14
2020-07-07 15:00:05 336.78 8.67
2020-07-07 15:05:05 331.26 8.68
2020-07-07 15:10:06 333.7 8.41
2020-07-07 15:15:07 332.51 8.61
2020-07-07 15:20:08 335.81 8.76
2020-07-07 15:25:09 333.59 8.45
2020-07-07 15:30:09 332.83 8.42
2020-07-07 15:35:10 332.4 8.53
2020-07-07 15:40:11 334.62 9.32
2020-07-07 15:45:12 335.97 8.68
2020-07-07 15:50:13 336.14 8.66
2020-07-07 15:55:13 332.51 8.93
2020-07-07 16:00:14 334.35 8.61
2020-07-07 16:05:15 335.16 9.21
2020-07-07 16:10:16 334.62 8.72
2020-07-07 16:15:17 337.11 9.44
2020-07-07 16:20:17 334.51 9.09
2020-07-07 16:25:18 335.0 8.98
2020-07-07 16:30:19 333.59 8.82
2020-07-07 16:35:20 336.24 9.3
2020-07-07 16:40:21 335.59 8.63
2020-07-07 16:45:21 334.35 8.83
2020-07-07 16:50:22 335.05 8.78
2020-07-07 16:55:23 335.11 8.45
2020-07-07 17:00:24 336.89 9.46
2020-07-07 17:05:25 335.32 8.83
2020-07-07 17:10:25 336.19 9.22
2020-07-07 17:15:26 337.54 9.32
2020-07-07 17:20:27 335.97 8.73
2020-07-07 17:25:28 336.68 9.61
2020-07-07 17:30:29 335.0 8.72
2020-07-07 17:35:29 335.21 9.2
2020-07-07 17:40:30 334.78 8.88
2020-07-07 17:45:31 336.95 8.73
2020-07-07 17:50:32 336.73 9.3
2020-07-07 17:55:32 337.33 8.52
2020-07-07 18:00:33 336.24 8.78
2020-07-07 18:05:34 335.32 9.07
2020-07-07 18:10:35 335.81 8.71
2020-07-07 18:15:36 336.95 8.92
2020-07-07 18:20:36 335.49 8.71
2020-07-07 18:25:37 336.24 8.79
2020-07-07 18:30:38 336.51 9.67
2020-07-07 18:35:39 337.6 9.53
2020-07-07 18:40:40 337.92 9.04
2020-07-07 18:45:40 336.57 8.76
2020-07-07 18:50:41 337.16 9.25
2020-07-07 18:55:42 335.7 8.67
2020-07-07 19:00:43 337.54 8.9
2020-07-07 19:05:44 336.51 8.68
2020-07-07 19:10:44 338.36 8.86
2020-07-07 19:15:45 337.6 8.91
2020-07-07 19:20:46 335.11 8.87
2020-07-07 19:25:47 336.62 9.04
2020-07-07 19:30:48 336.57 8.85
2020-07-07 19:35:48 335.27 8.77
2020-07-07 19:40:49 336.35 9.51
2020-07-07 19:45:50 336.73 9.36
2020-07-07 19:50:51 338.08 8.82
2020-07-07 19:55:51 338.46 8.79
2020-07-07 20:00:52 337.49 8.84
2020-07-07 20:05:53 337.43 8.93
2020-07-07 20:10:54 338.08 8.77
2020-07-07 20:15:55 334.46 9.13
2020-07-07 20:20:55 337.65 9.48
2020-07-07 20:25:56 336.95 8.77
2020-07-07 20:30:57 336.51 9.14
2020-07-07 20:35:58 337.81 8.8
2020-07-07 20:40:58 337.0 9.59
2020-07-07 20:45:59 337.81 8.89
2020-07-07 20:51:00 336.14 9.47
2020-07-07 20:56:01 336.57 9.12
2020-07-07 21:01:02 336.73 9.0
2020-07-07 21:06:02 335.97 9.29
2020-07-07 21:11:03 335.49 9.39
2020-07-07 21:16:04 333.91 9.02
2020-07-07 21:21:05 336.46 9.27
2020-07-07 21:26:05 333.97 8.94
2020-07-07 21:31:06 333.91 8.58
2020-07-07 21:36:07 335.16 8.52
2020-07-07 21:41:08 334.73 8.43
2020-07-07 21:46:09 334.67 8.91
2020-07-07 21:51:09 332.99 8.52
2020-07-07 21:56:10 334.78 8.99
2020-07-07 22:01:11 334.19 8.79
2020-07-07 22:06:12 336.73 9.29
2020-07-07 22:11:12 335.86 8.89
2020-07-07 22:16:13 335.38 8.77
2020-07-07 22:21:14 333.54 8.93
2020-07-07 22:26:15 333.91 9.21
2020-07-07 22:31:16 332.4 9.2
2020-07-07 22:36:16 335.49 8.88
2020-07-07 22:41:17 333.1 8.54
2020-07-07 22:46:18 334.94 9.26
2020-07-07 22:51:19 332.89 8.49
2020-07-07 22:56:19 332.24 9.26
2020-07-07 23:01:20 332.34 8.92
2020-07-07 23:06:21 334.35 9.17
2020-07-07 23:11:22 333.81 9.27
2020-07-07 23:16:22 332.94 8.7
2020-07-07 23:21:23 333.05 8.48
2020-07-07 23:26:24 331.53 8.46
2020-07-07 23:31:25 333.81 9.21
2020-07-07 23:36:26 332.45 8.40466312849455
2020-07-07 23:41:26 333.64 8.4
2020-07-07 23:46:27 331.69 8.22
2020-07-07 23:51:28 332.72 8.86
2020-07-07 23:56:29 332.78 8.15
2020-07-08 00:01:30 333.43 9.04
