Date Time VMFC
Date Time VMFC
Date Time VMFC
2020-07-06 12:31:46 534.34 8.98
Date Time VMFC
Date Time VMFC
2020-07-07 14:04:25 525.95 8.39
2020-07-07 14:09:25 543.82 8.54
2020-07-07 14:14:26 549.18 8.33
2020-07-07 14:19:27 553.13 8.18
2020-07-07 14:24:27 552.7 8.55
2020-07-07 14:29:28 578.47 8.46
2020-07-07 14:34:29 580.21 8.81
2020-07-07 14:39:29 568.4 8.19
2020-07-07 14:44:30 542.25 8.21
2020-07-07 14:49:31 569.16 9.06
2020-07-07 14:54:32 537.86 8.63
2020-07-07 14:59:32 540.19 8.52
2020-07-07 15:04:33 557.3 9.12
2020-07-07 15:09:34 522.7 8.5
2020-07-07 15:14:34 563.15 8.95
2020-07-07 15:19:35 593.8 8.51
2020-07-07 15:24:36 556.65 8.88
2020-07-07 15:29:36 508.89 9.17
2020-07-07 15:34:37 543.55 8.28
2020-07-07 15:39:38 576.2 8.63
2020-07-07 15:44:38 541.11 8.39
2020-07-07 15:49:39 586.22 9.55
2020-07-07 15:54:40 586.87 8.85
2020-07-07 15:59:40 555.46 9.05
2020-07-07 16:04:41 555.68 8.57
2020-07-07 16:09:42 532.77 9.43
2020-07-07 16:14:43 553.51 8.95
2020-07-07 16:19:43 562.39 8.73
2020-07-07 16:24:44 599.7 9.31
2020-07-07 16:29:45 516.52 8.73
2020-07-07 16:34:45 569.86 8.52
2020-07-07 16:39:46 579.67 9.49
2020-07-07 16:44:47 577.45 9.16
2020-07-07 16:49:47 550.59 9.4
2020-07-07 16:54:48 537.05 9.11
2020-07-07 16:59:49 593.42 8.65
2020-07-07 17:04:49 554.81 9.24
2020-07-07 17:09:50 562.23 9.37
2020-07-07 17:14:51 585.57 9.29
2020-07-07 17:19:52 593.15 8.97
2020-07-07 17:24:52 530.71 8.58
2020-07-07 17:29:53 534.45 9.41
2020-07-07 17:34:54 583.08 9.42
2020-07-07 17:39:54 533.09 8.74
2020-07-07 17:44:55 578.47 9.13
2020-07-07 17:49:56 570.79 8.8
2020-07-07 17:54:56 553.56 9.38
2020-07-07 17:59:57 587.36 9.05
2020-07-07 18:04:58 531.85 8.93
2020-07-07 18:09:58 580.32 9.15
2020-07-07 18:14:59 584.81 9.37
2020-07-07 18:20:00 568.94 9.43
2020-07-07 18:25:00 540.73 9.36
2020-07-07 18:30:01 530.6 8.73
2020-07-07 18:35:02 519.77 9.11
2020-07-07 18:40:03 542.84 9.2
2020-07-07 18:45:03 532.61 8.99
2020-07-07 18:50:04 543.98 9.61
2020-07-07 18:55:05 564.18 9.41
2020-07-07 19:00:05 555.78 8.52
2020-07-07 19:05:06 576.69 9.46
2020-07-07 19:10:07 548.69 8.65
