Date		 Min V 	Max V 	OC Sample Time 	CC Sample Time 	OC Min Time Limit  CC Min Time Limit 	OC Sample Time Max	CC Sample Time Max	OC FracV	CC FracV	Alpha 	Episilon 	Time Reference 	Time Interval  Min Time Interval Epsilon Max Count 	RLoad CalibADCV Reference  CalibADC Zero  CalibADC Max  Device ID Acquisition Rate

2021-03-02 12:05:09 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:06:22 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:33:51 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:35:39 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:36:06 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:43:36 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:43:38 10.0		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:45:22 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:47:21 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 12:50:04 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 13:10:11 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 13:29:39 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 13:35:10 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 13:37:30 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 13:44:56 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
2021-03-02 13:52:24 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
